strategy,routing_strategy,transport_weight,merge_usage_threshold,relocation_strength,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_transport_gap_mean,final_transport_gap_std,final_transport_loss_mean,final_transport_loss_std,final_routing_stability_mean,final_routing_stability_std
sinkhorn_topk,sinkhorn_topk,0.05,0.1,0.75,2,0.5,0.03125,0.0,0.0,0.0,0.0,7.450580596923828e-09,7.450580596923828e-09,0.06418975535780191,0.009312191978096962,0.03223636688198894,0.01921734178904444
kl_topk,kl_topk,0.05,0.1,0.75,2,0.5,0.03125,0.0,0.0,0.0,0.0,0.003430597484111786,0.00025310367345809937,0.06433531269431114,0.008943665772676468,0.0005259870176814729,0.0003264445167587837
no_transport,sinkhorn_topk,0.0,0.1,0.75,2,0.5,0.03125,0.0,0.0,0.0,0.0,7.450580596923828e-09,7.450580596923828e-09,0.06554260896518826,0.009724172297865152,0.02979807066731155,0.018336622277274728
no_merge,sinkhorn_topk,0.05,0.0,0.75,2,0.5,0.03125,0.0,0.0,0.0,0.0,7.450580596923828e-09,7.450580596923828e-09,0.06418975535780191,0.009312191978096962,0.03223636688198894,0.01921734178904444
no_relocation,sinkhorn_topk,0.05,0.1,0.0,2,0.5,0.03125,0.0,0.0,0.0,0.0,7.450580596923828e-09,7.450580596923828e-09,0.06418975535780191,0.009312191978096962,0.03223636688198894,0.01921734178904444
