strategy,routing_strategy,transport_weight,merge_usage_threshold,relocation_strength,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_transport_gap_mean,final_transport_gap_std,final_transport_loss_mean,final_transport_loss_std,final_routing_stability_mean,final_routing_stability_std
sinkhorn_topk,sinkhorn_topk,0.05,0.1,0.75,3,0.5130208333333334,0.04614595090278477,-0.057291666666666664,0.09403890669410307,0.057291666666666664,0.09403890669410307,0.10505197197198868,0.006322933349481341,0.038181952006804444,0.006486453644738836,0.27521147780741256,0.13644542495246112
kl_topk,kl_topk,0.05,0.1,0.75,3,0.5234375,0.05221337931188391,-0.0625,0.06750771560841522,0.0625,0.06750771560841522,0.02820366124312083,0.006396919986599554,0.03760865889489651,0.005953528478877325,0.19381452592400214,0.04848618802370076
no_transport,sinkhorn_topk,0.0,0.1,0.75,3,0.53125,0.04182911042762763,-0.0625,0.0919975090242484,0.0625,0.0919975090242484,0.10344463090101878,0.003998810001564939,0.055824041327772043,0.012604303460882564,0.24818088176349798,0.10017962466213208
no_merge,sinkhorn_topk,0.05,0.0,0.75,3,0.5104166666666666,0.02655739329996242,-0.041666666666666664,0.02655739329996242,0.041666666666666664,0.02655739329996242,0.16037976741790771,0.005050619765971735,0.03713517845608294,0.005887880730525614,0.2893063538552572,0.12665386930248826
no_relocation,sinkhorn_topk,0.05,0.1,0.0,3,0.5130208333333334,0.04614595090278477,-0.057291666666666664,0.09403890669410307,0.057291666666666664,0.09403890669410307,0.11656866470972697,0.022097104541379975,0.037290013201224305,0.006445731307292082,0.41437845933251083,0.27677504213068665
