strategy,routing_strategy,transport_weight,merge_usage_threshold,relocation_strength,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_transport_gap_mean,final_transport_gap_std,final_transport_loss_mean,final_transport_loss_std,final_routing_stability_mean,final_routing_stability_std
sinkhorn_topk,sinkhorn_topk,0.05,0.1,0.75,3,0.4973958333333333,0.02946278254943948,0.046875,0.08365822085525526,-0.046875,0.08365822085525526,1.9868214925130207e-08,7.024474751815672e-09,0.03806109031817565,0.007592712081652965,0.005213548727624584,0.001998947104464467
kl_topk,kl_topk,0.05,0.1,0.75,3,0.4973958333333333,0.02946278254943948,0.046875,0.08365822085525526,-0.046875,0.08365822085525526,0.000774383544921875,0.00030438768620741433,0.036979729581313826,0.007066529211330767,0.00022706613140144327,0.00011750300933613982
no_transport,sinkhorn_topk,0.0,0.1,0.75,3,0.4947916666666667,0.025779934730759548,0.046875,0.08365822085525526,-0.046875,0.08365822085525526,2.483526865641276e-08,1.4048949503631344e-08,0.04180191127428164,0.009838857706511356,0.0050245208767591976,0.0014480391485039385
no_merge,sinkhorn_topk,0.05,0.0,0.75,3,0.4973958333333333,0.02946278254943948,0.046875,0.08365822085525526,-0.046875,0.08365822085525526,1.9868214925130207e-08,7.024474751815672e-09,0.03806109031817565,0.007592712081652965,0.005213548727624584,0.001998947104464467
no_relocation,sinkhorn_topk,0.05,0.1,0.0,3,0.4973958333333333,0.02946278254943948,0.046875,0.08365822085525526,-0.046875,0.08365822085525526,1.9868214925130207e-08,7.024474751815672e-09,0.03806109031817565,0.007592712081652965,0.005213548727624584,0.001998947104464467
