strategy,routing_strategy,transport_weight,merge_usage_threshold,relocation_strength,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_transport_gap_mean,final_transport_gap_std,final_transport_loss_mean,final_transport_loss_std,final_routing_stability_mean,final_routing_stability_std
sinkhorn_topk,sinkhorn_topk,0.05,0.1,0.75,2,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.10992974601686001,0.016424482688307762,0.0106112630746793,0.008968896727310494
kl_topk,kl_topk,0.05,0.1,0.75,2,0.515625,0.015625,-0.03125,0.03125,0.03125,0.03125,0.005181074142456055,0.0008824169635772705,0.10701440833508968,0.01805579662322998,0.0002213084403592802,0.00010239332596029271
no_transport,sinkhorn_topk,0.0,0.1,0.75,2,0.625,0.125,0.0,0.0,0.0,0.0,7.450580596923828e-09,7.450580596923828e-09,0.11401412915438414,0.017624962143599987,0.011204510152310831,0.01010440227764775
no_merge,sinkhorn_topk,0.05,0.0,0.75,2,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.10992974601686001,0.016424482688307762,0.0106112630746793,0.008968896727310494
no_relocation,sinkhorn_topk,0.05,0.1,0.0,2,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.10992974601686001,0.016424482688307762,0.0106112630746793,0.008968896727310494
