strategy,routing_mode,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_stage_forgetting_mean,final_stage_forgetting_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std
no_adaptation,prototype,3,0.06547619047619048,0.02693740118805895,0.36388888888888893,0.01039349274103871,-0.19444444444444445,0.03491612524993482,0.3666666666666667,0.011785113019775776,0.04728599824011326,0.0026518616646273706,0.5271280300286081,0.051302072084686394
correlation,prototype,3,0.07261904761904762,0.02547730304646749,0.3361111111111111,0.010393492741038738,-0.19166666666666665,0.018002057495577393,0.33888888888888885,0.014163943093313291,0.056732293839255966,0.001458069421766356,0.659895644419723,0.07353666833573709
dual_transport,prototype,3,0.05952380952380953,0.02374992540864286,0.3611111111111111,0.01416394309331331,-0.20555555555555557,0.04101339738953724,0.3638888888888889,0.015713484026367748,0.04501227413614591,0.0010730657361335979,0.5108982572952906,0.05066598257920628
meta_secant,prototype,3,0.0630952380952381,0.02109529184127304,0.35555555555555557,0.02389534796400728,-0.19444444444444442,0.03424674446093875,0.3611111111111111,0.02576005137637694,0.0721833606561025,0.0027365415776780594,0.5141416183776326,0.012948334114414903
