strategy,routing_mode,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_stage_forgetting_mean,final_stage_forgetting_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std
no_adaptation,prototype,3,0.11111111111111112,0.01571348402636772,0.5192307692307693,0.015701857325533183,-0.5192307692307693,0.015701857325533183,0.5192307692307693,0.015701857325533183,0.06720877935489018,0.001993987468380992,0.21179573272389396,0.029599431138160843
correlation,prototype,3,0.10555555555555556,0.003928371006591923,0.5224358974358975,0.019757737189003102,-0.5224358974358975,0.019757737189003102,0.5224358974358975,0.019757737189003102,0.0754360780119896,0.0065609668286613345,0.5547974440786574,0.12956423950864124
dual_transport,prototype,3,0.1111111111111111,0.003928371006591936,0.5224358974358975,0.019757737189003102,-0.5224358974358975,0.019757737189003102,0.5224358974358975,0.019757737189003102,0.059553418308496475,0.0014701382966135696,0.2885367537814158,0.02096700885101448
meta_secant,prototype,3,0.10555555555555556,0.003928371006591923,0.5192307692307693,0.015701857325533183,-0.5192307692307693,0.015701857325533183,0.5192307692307693,0.015701857325533183,0.09640671064456303,0.006009517241623794,0.17515812648667228,0.011628531086308755
