strategy,routing_strategy,transport_weight,merge_usage_threshold,relocation_strength,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_transport_gap_mean,final_transport_gap_std,final_transport_loss_mean,final_transport_loss_std,final_routing_stability_mean,final_routing_stability_std
sinkhorn_topk,sinkhorn_topk,0.05,0.1,0.75,2,0.484375,0.015625,-0.09375,0.09375,0.09375,0.09375,0.019462060183286667,0.0008489582687616348,0.06585363112390041,0.009940002113580704,0.16945268487324938,0.040764692646916956
kl_topk,kl_topk,0.05,0.1,0.75,2,0.515625,0.015625,-0.15625,0.15625,0.15625,0.15625,0.013001052662730217,0.004631133750081062,0.06710736406967044,0.009879634249955416,0.03916137761552818,0.03434394669602625
no_transport,sinkhorn_topk,0.0,0.1,0.75,2,0.484375,0.015625,-0.09375,0.09375,0.09375,0.09375,0.019462610594928265,0.000849616713821888,0.06726632453501225,0.011108467355370522,0.16977788927033544,0.04042575554922223
no_merge,sinkhorn_topk,0.05,0.0,0.75,2,0.5,0.03125,-0.0625,0.125,0.0625,0.125,0.02150285243988037,0.0013851393014192581,0.0639129662886262,0.007701546885073185,0.5665276572108269,0.12047106772661209
no_relocation,sinkhorn_topk,0.05,0.1,0.0,2,0.46875,0.03125,-0.03125,0.09375,0.03125,0.09375,0.02102917805314064,0.00028973817825317383,0.06580749852582812,0.011076918337494135,0.0983290821313858,0.02700544334948063
