strategy,routing_mode,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_stage_forgetting_mean,final_stage_forgetting_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std
task_routing,task,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_adaptation,prototype,2,0.59375,0.03125,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0368293859064579,0.002831738442182541,0.25458788126707077,0.0762437954545021
correlation,prototype,2,0.59375,0.03125,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.03541102260351181,0.0023028552532196045,0.7302656695246696,0.4858279749751091
meta_secant,prototype,2,0.59375,0.03125,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.04022801574319601,0.028708436526358128,0.5433510914444923,0.3777749761939049
