strategy,routing_mode,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_stage_forgetting_mean,final_stage_forgetting_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std
task_routing,task,2,0.5357142857142857,0.0071428571428571175,0.03333333333333334,0.016666666666666673,0.024999999999999998,0.008333333333333335,0.03333333333333334,0.016666666666666673,0.0,0.0,0.0,0.0
no_adaptation,prototype,2,0.5357142857142858,0.021428571428571408,0.05833333333333332,0.04166666666666667,0.0,0.01666666666666668,0.06666666666666665,0.03333333333333333,0.02831741701811552,0.00015959609299898148,0.3358566661675771,0.0442943274974823
correlation,prototype,2,0.5357142857142858,0.021428571428571408,0.04166666666666666,0.04166666666666668,0.0,0.01666666666666668,0.05833333333333333,0.025,0.046625882387161255,0.0001927502453327179,0.3587895010908445,0.10776187231143317
meta_secant,prototype,2,0.5071428571428571,0.007142857142857173,0.08333333333333331,0.01666666666666667,-0.025,0.008333333333333323,0.08333333333333331,0.01666666666666667,0.047994380816817284,0.006492866203188896,0.5656301379203796,0.08542834719022116
