strategy,routing_mode,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_stage_forgetting_mean,final_stage_forgetting_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std
task_routing,task,5,0.49609375,0.02153757617514097,0.0109375,0.03479852726768764,-0.0109375,0.03479852726768764,0.0203125,0.025958199571618986,0.0,0.0,0.0,0.0
no_adaptation,prototype,5,0.5015625,0.01494619255446015,-0.0078125,0.03240068961457456,0.0078125,0.03240068961457456,0.0109375,0.015309310892394862,0.10891301333904266,0.002513251652006526,0.1348717836313881,0.04447785046898295
correlation,prototype,5,0.5015625,0.01494619255446015,-0.0078125,0.03240068961457456,0.0078125,0.03240068961457456,0.0109375,0.015309310892394862,0.1096884399652481,0.002446454204614783,0.1368920721462928,0.04395293176099462
meta_secant,prototype,5,0.5015625,0.01494619255446015,-0.0078125,0.03240068961457456,0.0078125,0.03240068961457456,0.0109375,0.015309310892394862,0.1096884399652481,0.002446454204614783,0.1368920721462928,0.04395293176099462
