config_name,routing_mode,prototype_slots_per_task,prototype_top_k,resolved_num_prototypes,resolved_prototype_top_k,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std,accuracy_gain_vs_task,forgetting_gain_vs_task,num_runs
task_routing,task,,,2,1,0.5234375,0.044652156769485016,-0.046875,0.07760241888412156,0.046875,0.07760241888412156,0.0,0.0,0.0,0.0,0.0,0.0,3
slots2_topk1,prototype,2,1,4,1,0.5130208333333334,0.04614595090278477,-0.057291666666666664,0.09403890669410307,0.057291666666666664,0.09403890669410307,0.10505197197198868,0.006322933349481341,0.27521147780741256,0.13644542495246112,-0.01041666666666663,0.010416666666666664,3
slots2_topk2,prototype,2,2,4,2,0.5286458333333334,0.041503587110701116,-0.041666666666666664,0.0820209153542897,0.041666666666666664,0.0820209153542897,0.056967822213967644,0.01231007046006693,0.42931933895063895,0.1839966603850561,0.00520833333333337,-0.005208333333333336,3
slots4_topk1,prototype,4,1,8,1,0.4713541666666667,0.03513212907091678,-0.005208333333333333,0.0820209153542897,0.005208333333333333,0.0820209153542897,0.08461730430523555,0.001174063254880116,0.13616507733240724,0.0017064847302437596,-0.052083333333333315,-0.041666666666666664,3
slots4_topk2,prototype,4,2,8,2,0.5078125,0.00637887953849786,-0.03125,0.10126157341262282,0.03125,0.10126157341262282,0.07466741154591243,0.0019521221437927404,0.18464166422684988,0.024028038660780012,-0.015625,-0.015625,3
