strategy,routing_mode,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_stage_forgetting_mean,final_stage_forgetting_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std
task_routing,task,2,0.5357142857142857,0.0071428571428571175,0.03333333333333334,0.016666666666666673,0.024999999999999998,0.008333333333333335,0.03333333333333334,0.016666666666666673,0.0,0.0,0.0,0.0
no_adaptation,prototype,2,0.5357142857142858,0.021428571428571408,0.05833333333333332,0.04166666666666667,0.0,0.01666666666666668,0.06666666666666665,0.03333333333333333,0.02831741701811552,0.00015959609299898148,0.3358566661675771,0.0442943274974823
correlation,prototype,2,0.5357142857142858,0.021428571428571408,0.04166666666666666,0.04166666666666668,0.0,0.01666666666666668,0.05833333333333333,0.025,0.046625882387161255,0.0001927502453327179,0.3587895010908445,0.10776187231143317
meta_secant,prototype,2,0.5142857142857142,0.028571428571428553,0.075,0.024999999999999984,-0.025,0.04166666666666665,0.075,0.024999999999999984,0.044425759464502335,0.006936505436897278,0.7761242190996807,0.01095630725224811
