strategy,routing_mode,num_runs,avg_accuracy_mean,avg_accuracy_std,avg_forgetting_mean,avg_forgetting_std,backward_transfer_mean,backward_transfer_std,final_stage_forgetting_mean,final_stage_forgetting_std,final_transport_gap_mean,final_transport_gap_std,final_routing_stability_mean,final_routing_stability_std
task_routing,task,3,0.5234375,0.044652156769485016,-0.046875,0.07760241888412156,0.046875,0.07760241888412156,0.005208333333333333,0.00736569563735987,0.0,0.0,0.0,0.0
no_adaptation,prototype,3,0.53125,0.04182911042762763,-0.0625,0.0919975090242484,0.0625,0.0919975090242484,0.010416666666666666,0.01473139127471974,0.10344463090101878,0.003998810001564939,0.24818088176349798,0.10017962466213208
correlation,prototype,3,0.53125,0.04182911042762763,-0.0625,0.0919975090242484,0.0625,0.0919975090242484,0.010416666666666666,0.01473139127471974,0.1035475159684817,0.002808830647328807,0.24804463175435862,0.09998699968323563
meta_secant,prototype,3,0.53125,0.04182911042762763,-0.0625,0.0919975090242484,0.0625,0.0919975090242484,0.010416666666666666,0.01473139127471974,0.1035475159684817,0.002808830647328807,0.24804463175435862,0.09998699968323563
